company,title,body,date,location,job_role,job_status,rating,work_balance,benefits,security_adv,management,culture,pros,cons
Grade Potential Tutoring,"Good pay, inconsistent work",The pay was good. The company sends you students but that's about it. You mostly contact and arrange most things with the parents/family themselves instead of the family. Only negative is there might not be a lot of students in the area so you might only work a few hours a week.,2023-10-13,"Garden Grove, CA",Private Tutor,Former Employee,4.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,Seems good so far,I have been with GP for about a year. Started slow with only 2 students. Now I have 4. Seems like a good fit for me. Driving to meet takes more time than I'd like when billing hourly.,2023-10-09,"Federal Way, WA",Tutor,Current Employee,4.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,Greedy UNPROFESSIONAL to work for,Company does not care about the tutors. It's all about money. They also give other tutors your students after they offer to you. Makes you look unprofessional when you're calling and no one gets back to you. To find out student was given to someone else. Calling the office is a headache. The company does not support the tutors. Horrible company to work for oh and you get paid on e a month. Which BLOWS,2023-10-02,Tutor,Tutor,Current Employee,1.0,1.0,1.0,1.0,1.0,1.0,You are your own boss,Company is very unprofessional and greedy
Grade Potential Tutoring,Lack of communication and scheduling,What is the best part of working at the company? The students I did get were wonderful What is the most stressful part about working at the company? They don’t give students so you have a very small and inconsistent paycheck What is the work environment and culture like at the company? This isn’t really applicable due to in home tutoring What is a typical day like for you at the company? I teach a student for a few hours in home,2023-09-11,"Jacksonville, FL",Tutor,Current Employee,1.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,Pretty good part-time job,"You will get new students quite often, so pretty good for starting a part-time job. The flexibility of declining students is pretty good. However, it seems like most students require weekday time, so it is less common to get students for weekends.",2023-09-03,"Pleasanton, CA",Tutor,Current Employee,4.0,5.0,3.0,4.0,5.0,4.0,,
Grade Potential Tutoring,Rewarding job that provides a variety of students,I love working with students and watching them thrive! The company provides many students. Supervisors are organized and helpful. I have been with this company for over two years and love it!,2023-09-02,"Irvine, CA",Tutor,Current Employee,5.0,5.0,5.0,5.0,5.0,5.0,,
Grade Potential Tutoring,Good Part time Job,Good for part time job. Flexible and self independent work. Good pay. Should commute to Client Place. Management is good and they inform if students showed up in our work area.,2023-08-21,"Raleigh, NC",Math Teacher,Current Employee,4.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,Independently driven,This company pays pretty good but be prepared to conduct sessions with no guidance. That may be a pro or con depending on your preference! I enjoyed it.,2023-08-10,"Santa Maria, CA",Tutor,Current Employee,4.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,Independent contractor work,you had to get clients to sign up for your tutoring services and got very little assistance from the company to do so. payment was based on appointments so if you didn't have any you didn't get paid,2023-08-03,"Hemet, CA",Contract Tutor,Former Employee,1.0,1.0,1.0,1.0,1.0,1.0,can have other job(Almost required),very hard to make money
Grade Potential Tutoring,Tutor,Great Place to work at. The students learned a lot. I would recommend this place to others because of its incredible abilities. The pay was decent and it was flexible.,2023-08-02,"Waldorf, MD",Tutor,Current Employee,4.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,"I can keep my tutoring skills sharp in an environment where students have different abilities, &  skill levels, and support.","What is the best part of working at the company? Excellent organization with expert staff and fair wages. Highly recommend.  What is the most stressful part about working at the company? The only stressor is knowing the level of expertise needed to successfully bring students to grade level. What is the work environment and culture like at the company? Very positive, encouraging, proactive, supportive.  What is a typical day like for you at the company? I meet with one or two students for one of two hours sessions.",2023-11-25,"Miami, FL",Tutor,Current Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,"Great pay per hour, but no guaranteed hours","got a job offer with no interview. Great pay per hour, but no immediate start or guaranteed hours per week. decent part time job for a graduate student.",2023-07-29,Tutor,Tutor,Current Employee,3.0,3.0,3.0,3.0,3.0,3.0,pay,no guaranteed hours
Grade Potential Tutoring,Decent supplementary income,"They charge the clients $50 but will pay you $24 per hour. Decent way to find clients and supplement your income but you won’t receive any benefits as a tutor. If the clients like you enough though you can be paid off the books by them and make extra money that way (aka receive the full $50). My recommendation is if you work for them keep at least one client paying you through their system (for tax purposes), but once they’ve used their allotted number of sessions they prepaid for, transition into being their private tutor without the company taking their fees.",2023-07-21,Private Tutor,Private Tutor,Current Employee,3.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,Not that many hours - side gig,Overall you don't get that many hours or students which is something to think about if you're looking for part-time hours. Definitely a side gig type of thing and not something to expect consistent income from.,2023-07-20,Tutor,Tutor,Former Employee,2.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,No oversight,"I worked with grade potential for a few months. It may be a good opportunity for someone with a fair amount of structured tutoring experience, but it’s a rough go. They don’t provide you with any curriculum or guidance. You have to provide your own. Basically the company just gives you the contact information and you do all the rest.",2023-07-19,"Detroit, MI",ELA Tutor,Former Employee,3.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,Good pay; Lovely Staff and Kids,"I love working at Grade Potential Tutoring! It's always great to help kids and also grow a friendship with most of them as well! Going to the child's house can be a bit anxious at first, but over time, it's a great experience, especially if you want to make a little money.",2023-07-06,"Brooklyn, NY",Tutor,Current Employee,5.0,4.0,5.0,4.0,4.0,4.0,"Amazing staff, nice kids, good pay","Pay is monthly, only an hour per child"
Grade Potential Tutoring,Good with flexible hours,I’ve been tutoring with them for over a year now. They will send you student profiles and you can decide if you want to tutor them or not. This job offers great flexibility! The pay is also good. Great job for college students.,2023-06-11,"Houston, TX",Tutor,Current Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,productive and fun,great overall nice people students are respectful and nice. The hiring duration wasn't that bad. great side hustle for teenagers that are in high school looking for some extra cash.,2023-06-08,K-6 Teacher,K-6 Teacher,Former Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,I feel both the students and myself were successful and completed our requests of what was expected.,"What is the best part of working at the company? Everyone is so helpful . I always felt I was given great advise and assistance. What is the most stressful part about working at the company? I had no stress, my experience was very good. What is the work environment and culture like at the company? Mine was very exceptional. My family’s were great and my contacts with the company also. What is a typical day like for you at the company? I went to the family’s home and met with my students and enjoyed my experience.",2023-06-03,"Richmond, TX",Private Tutoring,Former Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,For me the experience is very positive.,"What is the best part of working at the company? They provide me with students which match my travel requirements and provide me with an acceptable hourly wage. What is the most stressful part about working at the company? I really have minimal or no stress. Families do however cancel appointments when they travel or get sick. For a retiree, that is fine as long as they realize that their pay may fluctuate. On the other hand, if a tutor needs to travel or is temporarily unable to tutor due to their own illness,families are usually willing to accommodate these changes  What is the work environment and culture like at the company? It is positive but that really depends on the families and students you are working with, since you travel and interact with students and their families. In general, if the family is not a good fit or experiences financial issues, they will cancel directly with the company. What is a typical day like for you at the company? As mentioned, I generally work directly with students and their families. Once a client fits my schedule, I contact them and we agree to a tutoring schedule.After each session, I log  the hours I have completed into the timesheet. The company follows up with the tutor and the client to ensure that things are going well.",2023-05-23,"Saint Paul, MN",Tutoring Contractor with Grade Potential,Current Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,Easy to work around a busy schedule!,"It’s great for myself who moved across the country on a whim and needed work, luckily I was given 2 students in my area and was working in no time! Though it’s definitely not recommended for a career company, it was nice to have extra cash in my time of need.",2023-05-08,"Cocoa, FL",Tutor,Current Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,Great Job!,"This job meets all of my needs. Flexible, well paid and reliable management team. My position is in high demand so there is aways available work. I specialize in ESE.",2023-05-03,"Ocala, FL",Tutor,Current Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,Wonderful side job to have,I have had nothing but great experiences working with great potential for the last 7 years. They will send you a student you can work with and you always have the option to accept or decline. After that the company leaves it up to you and you figure out what works best for you and that student.,2023-05-01,Elementary Tutor,Elementary Tutor,Current Employee,5.0,5.0,5.0,5.0,5.0,5.0,"Flexibility, good pay",Driving
Grade Potential Tutoring,Great place to work for anyone starting into the tutoring business,"Working here is so amazing. Being a tutor is not something I ever wanted to do, but working here has made it something That I enjoy greatly. A typical day of work involved meeting with the student at their home or online and helping them with whatever subject they needed help on. Management is great. They are always there to answer questions. The hardest part of this job is working with difficult students. However, once a daily routine is created, a great experience can come out of it. I enjoyed meeting new students and their families and getting the opportunity to help them succeed in school.",2023-04-30,"Mesquite, TX",Private Tutor,Current Employee,5.0,5.0,4.0,5.0,5.0,5.0,Great pay,paid once a month
Grade Potential Tutoring,Great for someone who enjoys teaching but doesn't want the drama a school and classroom (parents) may bring.,What is the best part of working at the company? You are able to set your own hours and you have the opportunity to work one on one with your student. Low stress and very rewarding! What is the most stressful part about working at the company? Some parents have special requirements and you must make sure that those are met but that is about it What is the work environment and culture like at the company? Depends on where you are tutoring. What is a typical day like for you at the company? I tutor in the field requested of me and adjust as needed.,2023-04-25,"San Luis Obispo, CA",Professional Tutor,Current Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,It’s Easy to Tutor with Grade Potential!,"I enjoy working with the staff and my student clients at Grade Potential!  I have seen so much success with GP.  The staff makes it easy to find students with needs, and since I go to the homes of students or a public library, I don’t need to even trouble myself about anything except actually tutoring.  Thanks for being a faithful partner with all the logistics and marketing, Grade Potential!",2023-04-16,"Washington, DC","Tutor, English and Test Taking",Current Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,Productive and Fun,"What is the best part of working at the company? The company is like any other company, they don't deal with you unless necessary. Communication is better. Very organized.  What is the most stressful part about working at the company? For me personally, there's nothing stressful about my job.  What is the work environment and culture like at the company? Environment is great only because I mostly do my tutoring online.  What is a typical day like for you at the company? Helpful, fun, exciting, job, and etc.",2023-04-13,"San Francisco, CA",Online English Tutor,Former Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,"Excellent compensation, fair and supportive administration, flexible hours","If you have the passion and the ability to help people with academic subjects (particularly reading and writing), this is IT!  I have only just begun this independent contractor job but so far am very impressed with the company, being trusted to create my own lesson plan and help each student progress at his or her own speed.  And the pay is good!  Having looked at multiple company offerings and the staff reviews this one wins, hands down in all areas.",2023-04-13,"Clearwater, FL 33763",Part Time Tutor as independent contractor,Current Employee,5.0,5.0,5.0,5.0,5.0,5.0,"Top of the pay scale for the tutor position, choice of hours and students",None
Grade Potential Tutoring,A lot of independence,"Good job to work if you're highly independent and not afraid of talking to annoyed parents. Eligibility for pay increase depending on experience. Can take a while for GPT to offer you new clients, but you can request more students if you're willing to shift some of your hours to take out-of-state students. Good chance to practice developing lesson plans independently if you're looking to become a teacher.",2023-04-03,Tutor,Tutor,Current Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,Not very rewarding and very demanding.,"What is the best part of working at the company? Student selection referral process. What is the most stressful part about working at the company? No mileage reimbursement nor insurace cost allotment.. What is the work environment and culture like at the company? Very professional no required progress seccion report required, and parent management of each meal and work study accomodations made. What is a typical day like for you at the company? Everything is managed via email, and a few phone calls made for questions now and then.",2023-03-29,Tutor/Mentor,Tutor/Mentor,Former Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,My experience has been rewarding but challenging which all depends on the type of student and type of parents care about their own child.,"What is the best part of working at the company? Set your own hours. Reschedule when needed. Be your own boss.  What is the most stressful part about working at the company? Driving to homes for the first time completely unaware what to expect with very little info on the student given to you by the company. What is the work environment and culture like at the company? Changes for each student. Depends what type of home life the student has What is a typical day like for you at the company? Most of the time, you work hours consist between 3:30pm and 7:00pm. Unless you are working with a home schooled student then you can work in the morning. But that is unlikely. Majority of days I only have one student for about 90 minutes each evening.",2023-03-24,"Media, PA",Tutor,Current Employee,4.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,"I can keep my tutoring skills sharp in an environment where students have different abilities, &  skill levels, and support.","What is the best part of working at the company? Excellent organization with expert staff and fair wages. Highly recommend.  What is the most stressful part about working at the company? The only stressor is knowing the level of expertise needed to successfully bring students to grade level. What is the work environment and culture like at the company? Very positive, encouraging, proactive, supportive.  What is a typical day like for you at the company? I meet with one or two students for one of two hours sessions.",2023-11-25,"Miami, FL",Tutor,Current Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,High pay,"Great place to work, flexible schedule, high pay. Coordinators and staff work well together in order to provide a seamless front end so all you need to do is show up and help the student.",2023-03-01,"Berkeley, CA",Tutor,Current Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,"Good job, terrible work culture","Unless you are going to work a lot of hours, the wage does not make up for commute costs and time to get to each client's house. Because it is contract work, the hours are often unreliable and there is no training, materials, or support for the tutors.",2023-03-01,"Houston, TX",Contract Tutor,Current Employee,2.0,4.0,1.0,1.0,1.0,1.0,"Flexible hours, decent pay","Unpaid commute, unreliable hours, no training"
Grade Potential Tutoring,Best Job I’ve had,I’ve been tutoring for several years for various companies but none pay this good or are this respectable of my time. All of my questions are quickly answered within minutes for the most part and my manager actually cares about my well being and happiness which is something no other company has offered me. Could not say enough about how much I love working here. Really wish they had healthcare but since I’m an independent contractor I understand why it’s not offered.,2023-02-20,"Houston, TX",Professional Tutor,Current Employee,5.0,5.0,4.0,5.0,5.0,5.0,"Great culture and environment, flexible schedule, work as much as I want.",No healthcare
Grade Potential Tutoring,Flexible and fun,"I've been working for this company for almost a year now. It's  a great way to make extra money. I love that they have so many locations, so there is work available all the time. The pay is 25-50 hr depending on how far a location is from the tutor. Pay day is every moth. The best part is meeting all the new students and engaging with them.",2023-02-11,"Dallas, TX",Private Tutor,Current Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,Great Company,"Flexible Hours, Excellent Pay. It's a great job for someone looking for something on the side. I would say that you definitely would want to be sure that the driving distance makes sense for you.",2023-02-10,Tutor,Tutor,Current Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,Great side hustle for students,"Working for GPT has been great, but it is truly a job that is beneficial for students or post grads looking to make some money on the side. The pay is great per hour (ranging from ($30/hr-50/hr) but realistically your hours available will only be after school. I planned my schedule logistically because im in school 9-3pm, so i work M-F 4-7 with GPT. This has been great due to the flexibility and all the students are in close proximity to me. Pay is once a month and no taxes taken out. So you MUST be mindful of that. Overall worth it in my opinion if you’re looking for a great low stress side hustle.",2023-02-01,"New York, NY",Tutor,Current Employee,5.0,5.0,5.0,5.0,5.0,5.0,"Great hourly pay, flexible schedule, good management",Ideal only if you have a car
Grade Potential Tutoring,Flexible and Fun,Grade Potential Tutoring is one of the best services that provide super flexible schedules and each student you meet is different and fun in their own way.,2023-02-01,"New York, NY",Tutor,Current Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,5 stars,What is the best part of working at the company? The process was extremely easy to get established with the company.  What is the most stressful part about working at the company? There isn't one What is the work environment and culture like at the company? Very independent What is a typical day like for you at the company? I tutor two hours a week.,2023-01-28,"Monroe, GA",Tutor,Current Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,5 stars,"What is the best part of working at the company? Flexibility and free choice of students ages and locations  What is the most stressful part about working at the company? Travel sometimes from job to job What is the work environment and culture like at the company? Work is at clients /students homes, usually comfortable and convenient. Company responds quickly and respectfully to questions and concerns.   What is a typical day like for you at the company? Travel, to students homes, tutor or teach students,  talk to family.  Drive back and input jobs into the online logjng system.",2022-12-19,"West Palm Beach, FL",Private Tutor,Current Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,Good Pay per hour but Hours are Sporadic,"As the title says, the hourly pay is good, but you may not get more than a few hours per week. Since this is a job tutoring students at their home or sometime the library, you obviously wont have any work when the students are in school, therefor its strictly a part time job and you probably wont get than more than 10 to 15 hours a week.  When you are offered a student, you can choose to accept or decline and there's no penalty for declining. So that's a positive. Also, you're basically allowed to tutor as you see fit without interference from management. If you have any issues, you can call them and they are always quite nice and helpful. Basically not a bad job if you want to make a  extra dollars per month, but if you're looking for fulltime work you might want to look for something else",2022-11-12,Tutor,Tutor,Current Employee,3.0,5.0,4.0,2.0,4.0,3.0,"Good pay per hour, friendly managment","Not a lot of hours per week, get paid only once per month"
Grade Potential Tutoring,Great place for someone wanting a tutoring side-gig.,"GPT gave me a great opportunity to work on my own time. There was a lot of driving - you usually meet students in their home or at an agreed-upon location, such as a library. Compensation was adequate - less than I'd charge for private tutoring, but not so little that I couldn't justify working for them!",2022-10-31,"Lawrenceville, GA",Student Tutor,Former Employee,4.0,5.0,4.0,3.0,3.0,3.0,,
Grade Potential Tutoring,fun workplaces,"good pay great people , flexible schedules and my commute is not bad was scared at first but the company makes you feel welcome almost immediately 5 stars",2022-10-26,"Garland, TX",Seed Technician,Current Employee,5.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,Great pay and flexible work,I love working at grade potential. The site is intuitive and the management is very professional and accommodating. They even pay you more for longer distances. I would say the only bad parts are the once-a-month pay and the fact that the company does not provide any resources for your tutoring (unlike tutoring at an actual facility).,2022-10-18,"Tampa, FL",Tutor,Current Employee,4.0,5.0,5.0,3.0,4.0,4.0,"Good pay, flexible, reliable management","No tutoring resources provided, paid once a month"
Grade Potential Tutoring,Good support network,When students where late or no shows Grade Potential would still pay you for your time. Never had to fight them for it. which was a nice reason to join them. Only issue was depending on location and skill level it may take a while before you get a student tossed your way.,2022-10-04,"Torrance, CA",Private Tutor,Former Employee,3.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,Terrific tutoring company,"This company is extremely professional and trustworthy. The hiring staff is reliable and encouraging. I've been working with them for a few months, and my experience has been incredible so far.",2022-09-09,Remote,Science and French Tutor,Current Employee,5.0,5.0,5.0,5.0,5.0,5.0,,
Grade Potential Tutoring,Great place for extra income!,"I have been at GPT for three years and this only complaint I have is that I do not get enough clients. The pay is good, the HR dept is always helpful as there is good communication.",2022-09-09,Philadelphia,Private Tutor,Current Employee,4.0,0.0,0.0,0.0,0.0,0.0,,
Grade Potential Tutoring,"Flexible schedules, great pay, nice staff","GradePotential is great to work for.  The staff is polite and helpful.  The pay is great and the kids and their families were very nice.  If it were possible the only thing I would change is getting paid once a month, I would much prefer weekly or at least biweekly.",2022-08-17,"Austell, GA",Tutor,Current Employee,5.0,5.0,5.0,5.0,5.0,5.0,,
Grade Potential Tutoring,Great for people who work independently,Some weirdness going on with management structure but other than that it's a pretty decent job. Great people and get culture. Growing and evolving company.,2022-08-14,"San Luis Obispo, CA",Client Operations Manager,Former Employee,5.0,3.0,3.0,3.0,3.0,5.0,,
Grade Potential Tutoring,easy hiring process,"they emailed me within a week and attached a few videos and instructions on how to set up my account. not too many students where i live though, which might have impacted the rate at which i got students.",2022-08-14,"Temple City, CA",Tutor,Current Employee,4.0,4.0,3.0,3.0,2.0,3.0,,
