company,title,body,date,location,job_role,job_status,rating,work_balance,benefits,security_adv,management,culture,pros,cons
Delta Air Lines,"It’s what you make it. It could be challenging at times,",What is the best part of working at the company? The color of the uniform and the free uniform and work boots.  What is the most stressful part about working at the company? People with higher seniority lazy.  What is the work environment and culture like at the company? Stay to yourself don’t get caught up in drama  What is a typical day like for you at the company? Depends on the day honestly….,2024-06-17,"Chicago, IL",Ramp Agent/Baggage Handler,Current Employee,1.0,,,,,,,
Delta Air Lines,Good place to work,"Good Company to work for with excellent benefits. Good employees, management ok. Some just want to advice to the next level. A lot of workplace romances so be careful.",2024-06-12,"Atlanta, GA",Customer Service Representative,Former Employee,5.0,,,,,,,
Delta Air Lines,Productive and fun work place,What is the best part of working at the company? My schedule. Having the ability to make my own schedule  What is the most stressful part about working at the company? The suitcases that be on the flights  What is the work environment and culture like at the company? It’s like family. All family   What is a typical day like for you at the company? Sometimes it a long day and sometimes it’s a short day,2024-06-12,"Cincinnati, OH",Ramp Agent,Current Employee,5.0,,,,,,,
Delta Air Lines,Awesome,Great people to work with. Staff is great. Enjoyed meeting people from all walks of life. Very diverse staff. A lot of walking and talking. Enjoyed it,2024-07-26,"Atlanta, GA",Cabin Cleaner,Former Employee,5.0,,,,,,,
Delta Air Lines,Excellent Employer,"Great pay and work life balance.  For my position, there is practically zero micro management. Ample opportunities for advancement if you are interested.",2024-06-12,"Atlanta, GA",Flight Superintendent,Current Employee,5.0,,,,,,,
Delta Air Lines,Productive Workplace,Great place to work and the career growth is quite good also. The staff also get along really well and also the open door policy really helps. Would recommend to all employees.,2024-06-11,United States,HR Manager,Former Employee,5.0,,,,,,,
Delta Air Lines,Productive and fun place,What is the best part of working at the company? Benefits. Hours and being treated like family What is the most stressful part about working at the company? It gets really busy sometimes. What is the work environment and culture like at the company? The culture is very mixed and diverse  What is a typical day like for you at the company? Some days are good some are busy,2024-06-10,"Atlanta, GA",Ramp Agent,Current Employee,5.0,,,,,,,
Delta Air Lines,Fun and exciting,"Great place to work, coworkers are always on team mode and looking out for each other. Leadership is also there when needed too. Couldn’t ask for a better work environment",2024-06-06,"Atlanta, GA",Flight Nurse,Current Employee,5.0,,,,,,,
Delta Air Lines,Great place to work,Great place to work and great benefits for all the staffs. Delta takes care of their customers and their employees. Everyone that works for delta are nice,2024-06-05,"Atlanta, GA",CSA - Customer Service Associate,Current Employee,5.0,,,,,,,
Delta Air Lines,Wonderful Worplace with Great Mentoring and Friendly Coworkers,My co-op was wonderful due to the great mentorship and the work that my team provided me with during my time as an intern. All of Delta Air Lines at HQ seemed friendly and willing to help and I learned a lot while working there.,2024-06-04,"Atlanta, GA",Project Manager Co-Op,Former Employee,5.0,,,,,,,
Delta Air Lines,Don’t apply!,"Run! Not a good place to work. Very stressful, not because of passengers, but your management. The only good thing about this place is the ability to travel.",2024-06-02,"Los Angeles, CA",Customer Service Representative,Former Employee,1.0,,,,,,,
Delta Air Lines,Flexible and wonderful place to work,"I work as a flight attendant, and my work usually consists of three day trips. I will begin my day in one of our bases, fly anywhere from 1-4 segments in a day where I then end up at my hotel for the layover. I am constantly customer-facing in this service-industry adjacent career. The management is great, and I am able to manipulate my schedule to what I need. The workplace culture is friendly, and I am always working with someone new which I enjoy. The hardest part of the job is being gone for days on end, making it hard to do other things in my life (appts, family events, etc). The most enjoyable part of the job is getting to travel the world and have wonderful passenger interactions.",2024-05-28,"Atlanta, GA",Flight Attendant,Current Employee,5.0,,,,,,"Free flights, kind customers, flexible schedule","Long hours, jet lag"
Delta Air Lines,"Best job on earth, always looked forward to coming to work at delta tech-ops","What is the best part of working at the company? The People you work with on a day to day basis!!! What is the most stressful part about working at the company? Deciding to retire or not to retire during the corvid farce!! What is the work environment and culture like at the company? Fantastic  work environment, culture is also fantastic What is a typical day like for you at the company? Always learning new things about the jets.",2024-05-27,"Atlanta, GA",Aviation Maintenance Technician,Former Employee,5.0,,,,,,,
Delta Air Lines,Good place to work,"As an aircraft Mechanic,  this is a good place to work. You'll learn the inner workings of aircraft and equipment. Definitely recommended for aircraft Mechanics looking for steady work and pay.",2024-05-24,"Atlanta, GA",Aircraft Maintenance Technician,Former Employee,4.0,,,,,,,
Delta Air Lines,At Delta we connect the world,What is the best part of working at the company? Free flights that you get picking up your shift What is the most stressful part about working at the company? Working an oversold flight alone in a busy season  What is the work environment and culture like at the company? Wonderful feels like family love care safety  What is a typical day like for you at the company? Fun day help customers they are happy so am I,2024-05-18,"Boston, MA",Ticket/Gate Agent,Current Employee,5.0,,,,,,,
Delta Air Lines,It was not very good.,It was alright. I wouldn't really recommend working for this company at the airport at all though. Some of the other companies looked a lot more professional and reasonable to work for though.,2024-05-17,"Springfield, MO",Customer Service Representative,Former Employee,3.0,,,,,,,
Delta Air Lines,Very rewarding,Front line/ ticket counter/gates/baggage service Patience wins every time very well structured management Bustling workplace Winning the war of. weather related delays./ seat conflicts/lost baggage Meeting varied cross-sections of personalities/  fringe benefits of travel,2024-05-12,13 years at Portland Maine Jetport/14years at West Palm Beach Intl Airport,Senior Customer Service Associate,Former Employee,5.0,,,,,,Health benefits/fair advancement opportunities/ fail compensation for efforts,
Delta Air Lines,I love working for this company!,Great company to work for and great work culture and people! Caring teammates that are like family! When I was a flight attendant I enjoyed our passengers and know that I will love them even more as a pilot at the company ♥️,2024-05-10,"Atlanta, GA",Flight Attendant,Former Employee,5.0,,,,,,,
Delta Air Lines,"Incredible Co Op, great co workers, just needs a bit more structure.","I worked at Delta Airlines for three rotations as a college co op. I would 100% say work here. I worked in catering and almost everyone was kind and courteous. I had several mentors that introduced me to the business world. If you are in college and don't know what you want to do yet, I would 100% recommend taking an internship or Co Op with this company. It is a good example of what a well run operation should look like and you can truly learn from the best.",2024-05-09,"Atlanta, GA",Catering Operations Co Op,Former Employee,5.0,,,,,,"Free breakfast, lunch dinner, flight benefits","Some managers can be incommunicative, occasionally not enough work for you to do."
Delta Air Lines,Not a bad place to work,Can be a little overwhelming when it comes down to holidays but overall not bad. Must be on time as they have a strict policy for being on time. Free travel and sometimes free gear,2024-05-09,"Atlanta, GA",Ramp Agent,Former Employee,4.0,,,,,,,
Delta Air Lines,Pretty nice,They have good benefits. It’s a lot of physical work but they have other opportunities too and really good opportunities for growth. Overall I have liked it.,2024-05-09,"Boston, MA",Ramp Agent,Current Employee,5.0,,,,,,,
Delta Air Lines,Toxic work environment with mediocre pay,A typical day at work is loaded down with flights with a little bitty lunch after your 4 or 5th flight when each flight lasts 45 minutes to an hour every time.managers are trash!they dont look out for you at all. Coworkers are cool but it feels like you’re on your own out there with no equipment to get around the airport,2024-05-06,Ramp Agent,Ramp Agent,Current Employee,3.0,,,,,,Good coworking environment,Unprofessional managers and small lunch breaks
Delta Air Lines,They don’t care about family,"Can’t take off unless you how time off which is hard to accrual with low senility low pay starts at $16 in cincy can’t even use benefits bc you always at work , micromanaging and old ppl & stuck up mf wanna be  yelling all the time over things you can’t control look away at the call centers",2024-05-06,"Cincinnati, OH",Customer Service Representative,Former Employee,3.0,,,,,,,
Delta Air Lines,Great benefits,"You have to put your time in;  but it’s worth it.  Free travel and a classy airline. Paid training.  No union, but they get a great profit sharing check!",2024-05-06,"New York, NY",Flight Attendant,Current Employee,5.0,,,,,,,
Delta Air Lines,Awesome,Great people to work with. Staff is great. Enjoyed meeting people from all walks of life. Very diverse staff. A lot of walking and talking. Enjoyed it,2024-07-26,"Atlanta, GA",Cabin Cleaner,Former Employee,5.0,,,,,,,
Delta Air Lines,Great place,"Most of the time I see my job more of a lifestyle. I have been with Delta for 6 years now and I do still love my job. The benefits are great: medical, dental, vision (premiums can be better), decent 401K match,  maternity/paternity leave, hotel/car rental discounts, and many more. Most of all we enjoy our travel benefits but of course we fly on stand by.  At my seniority, I currently work between 80 to 100 hours. We don't have normal working hours as it always depend. I usually work 3 days  straight with working hours varying each day. For example, if I work 3 flights in a day, that could worth around 12 hours for us in a day. Working for 3 days also means staying in a different state each night to which I enjoy most of the time.  The hardest part of the job is being away in a different state each day and missing some important events in our lives.  The most enjoyable part of my job is travelling the world while working with some of the best people I've met in my life.",2024-05-03,"Phoenix, AZ",Flight Attendant,Current Employee,4.0,,,,,,,
Delta Air Lines,The Culture is second to none,Delta has a culture that I haven’t found in any other culture. The employees seem to care about their work and are proud of thier company. The company is equally as proud of thier employees and shows that it cares. The overall compensation package is one of the many ways the company shows its interest in employees. It’s unmatched in the industry.,2024-05-01,"Atlanta, GA",Field Service Manager,Former Employee,5.0,,,,,,"Great Pay, benefits and opportunity for advancement","Potential for long hours due to irregular operations. For someone with mediocre work ethics, Delta very strict attendance adherence policies will be an issue."
Delta Air Lines,Fun workplace,Great benefits You’ll learn a lot of things mostly everyday Time and pressure Coworkers are great Managers and supervisors are awesome Lots of events going on It is fun but low pay,2024-05-01,"Salt Lake City, UT",Customer Service Representative,Current Employee,5.0,,,,,,,
Delta Air Lines,looks good on resume but poor payout,billion dollar company paying pennie’s . management over does it and no personal time or flexibility in schedule. the best part is the flights but you’ll have little spending money at your destination,2024-04-30,"Atlanta, GA",Premium Sales and Service Specialist,Current Employee,1.0,,,,,,travel benefits,"pay, management, flexibility"
Delta Air Lines,The experience could be greater than present today.,"What is the best part of working at the company? Meeting new people daily and of course, the flying benefits! What is the most stressful part about working at the company? It’s not a stressful job. If you enjoy what you do the stress of working doesn’t exist.  What is the work environment and culture like at the company? The work environment and culture has changed dramatically since Covid. Experience and knowledge is no longer needed.  Years of experience doesn’t mean anything.  A seniority based company is allowing employees who have friends to qualify them for managerial positions.  The environment and culture definitely needs to be changed to accommodate those who have experience and knowledge.",2024-04-28,"Washington, DC",Customer Service Representative,Current Employee,5.0,,,,,,,
Delta Air Lines,Fun place to work.,What is the best part of working at the company? The family felt environment. The helping spirit. The ability to feel your making a difference. What is the most stressful part about working at the company? The passengers can be quite overwhelming at times. What is the work environment and culture like at the company? Depends on what location you are placed in. What is a typical day like for you at the company? Different situations vary from day to day.,2024-04-27,"Atlanta, GA",Aircraft Load Agent,Former Employee,5.0,,,,,,,
Delta Air Lines,Mindset of getting the job done safely,"What is the best part of working at the company? Working with the customers to make them feel like they had the best customer experience What is the most stressful part about working at the company? Handling high volume passengers with deadlines, thus makes you strive even more to make each customer experience a memorable one What is the work environment and culture like at the company? Diversity inclusion and integrity we are family and treat each other like family What is a typical day like for you at the company? Working in a Fast paced safety environment to get the job done by working as a team",2024-04-27,"Detroit, MI",Safely conduct all ramp operations as directed by leader,Former Employee,5.0,,,,,,,
Delta Air Lines,Vast company to get a wealth of knowledge,"Seattle is different compared to other stations I have worked at for this great air line. While Seattle leadership in certain places, peer readership makes up for it.",2024-04-25,"SeaTac, WA",Learning Records Administration,Current Employee,3.0,,,,,,,
